"","UNH_ID","Sample_Name","Collection_Date","Collection_Time","WY","CY","Project","Sub_Project","Sub_ProjectA","Volume","Collector_Radius_cm","Rainfall_mm","Collector_Precip_mm","pH","NH4","Potassium","Magnesium","Calcium","Nitrate","PO4","PO4_Final","Chloride","Sulfate","Sodium","NPOC","TDN","DON","Field Notes","Lab_Notes","AllCat","NutCat","MacCat","MicroCat","AllAnion","NutAnion","MacAnion","MicroAnion","Balance","TDNf","TDNf_notes","NPOCf","NPOCf_notes","NH4f","NH4f_notes","NH4_exceed","NO3f","NO3f_notes","DONf","DONf_notes","DONexceeds","PO4f","PO4f_notes","cbf","allcatf","nutcatf","macromicrocatf","allanionsf","nutanionsf","macmicanionsf"
"1",72996,"ppt1Thomp",2007-10-08,1899-12-31 10:45:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",2193.5,14.8,32.4,31.8760648785478,3.51,272.046424702303,0.10474378275278,0.009601,0.099925,0.264623957507435,1.2282791058157,1,0.240286630049418,0.729414783947155,0.175684076879852,1.41456810070472,0.699628732649567,0.162958350439829,"slight mist, but collectors not open",NA,344.548883527115,35.5193402757562,19.4221763905407,16.0971638852156,71.4275706500675,71.4275382907018,19.155336247939,52.2722020427627,273.121312877048,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"2",73470,"ppt1Thomp",2007-10-10,1899-12-31 11:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",328,14.8,5.1,4.76651437436229,NA,283.828749997449,0.118054255791004,0.016609,0.069998,0.235479029846313,3.24840108663381,3.24840108663381,0.685291441483303,0.53329589021224,0.346069516571887,1.11989268207034,0.639101212420768,0.119793432577006,NA,NA,NA,43.1956203039639,20.2633504674412,22.9322698365227,NA,70.0992280150932,17.5072630189344,52.5919649961587,NA,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"3",73473,"ppt1Thomp",2007-10-11,1899-12-31 11:00:00,"2008",2007,"Lamprey","Wet Deposition",NA,11.5,14.8,0,0.167118644223068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very little precip","unfiltered for IC only",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,2,2,2,2,2,2,2
"4",73478,"ppt1Thomp",2007-10-12,1899-12-31 11:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",1590.5,14.8,25.1,23.1132350988513,5.75,151.409366554329,0.0921189413466681,0.054409,0.146685,0.118834049730376,-0.185806798137936,1,0.710589665818767,0.324543859829362,0.489567469861759,0.408139693351706,0.321126655383358,0.0508832390986539,NA,NA,48.0357434227789,46.2574640127399,10.8095499788912,35.4479140338487,48.7351199430677,48.7294965298158,8.44410861254817,40.2853879172677,-0.699376520288872,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"5",73510,"ppt1Thomp",2007-10-15,1899-12-31 10:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",610,14.8,8.3,8.8645541718323,3.7,170.225936244137,0.166126882251096,0.066916,0.166746,0.337339401535942,0.725552212514381,1,0.91712873477477,0.492128986684466,0.669013505737961,0.421956419218135,0.605129900729914,0.0975645629498352,NA,"Deleted smartchem NO3 since 11.52 doesn't seem right",258.855639707586,59.3294082106976,12.1529189865165,47.1764892241811,80.8026925175143,80.802642398791,24.2390274986425,56.5636149001485,178.052947190071,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"6",73615,"ppt1Thomp",2007-10-19,1899-12-31 09:00:00,"2008",2007,"Lamprey","Wet Deposition",NA,NA,14.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"slight mist in bottom of bucket","no sample saved",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,2,NA,2,NA,NA,2,NA,2,2,2,2,2,2,2
"7",73618,"ppt1Thomp",2007-10-22,1899-12-31 14:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",1859,14.8,27.9,27.0150921400594,4.58,42.7305088096646,0.097514057972176,0.008617,0.120381,0.0413549371331498,0.622242558604907,1,0.424324739782139,0.117108505104102,0.264654186173472,0.239989408644154,0.152163815214539,0.0680783692717251,"moved collectors 2 + 3 to permanent posts",NA,50.0753591861407,23.7726792671869,3.05065387375345,20.7220253934334,22.3589711210147,22.3585909316184,3.08571891261259,19.2728720190058,27.716388065126,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"8",73649,"ppt1Thomp",2007-10-24,1899-12-31 08:00:00,"2008",2007,"Lamprey","Wet Deposition",NA,55,14.8,0.6,0.799263081066847,NA,753.147270474948,0.314065777524237,0.177645,0.288236,0.969010685068204,1.2282791058157,1,2.58493069694227,1.17819137015503,1.92461763827277,2.14957463893603,1.49134248753996,-0.230815468003194,NA,NA,NA,174.519409702313,53.769348930888,120.750060771425,NA,215.84040673877,69.443529834058,146.396876904712,NA,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"9",73652,"ppt1Thomp",2007-10-25,1899-12-31 14:00:00,"2008",2007,"Lamprey","Wet Deposition",NA,47,14.8,0.8,0.683006632911669,NA,687.958700057278,NA,NA,NA,NA,2.84437687860872,2.84437687860872,NA,NA,NA,2.72270876856066,0.9230499147647,NA,NA,"sample left at room temp over weekend",NA,NA,49.1153494722123,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,NA,2,NA,2,2,2,2,2,2,2
"10",73655,"ppt1Thomp",2007-10-29,1899-12-31 08:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",1054,14.8,15.5,15.3167870444447,3.7,39.8385703605412,0.0733299496025794,0.044835,0.092001,0.0789550086941408,0.824254427444284,1,0.560626129358653,0.254663011520607,0.323529821977943,0.439728790303749,0.129385751574816,0.010592172520134,NA,NA,226.598969703192,27.0727382063046,2.8441900735733,24.2285481327313,37.5103121460891,37.5102620273658,5.81336274551822,31.6968992818476,189.088657557103,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
"11",73675,"ppt1Thomp",2007-11-05,1899-12-31 08:00:00,"2008",2007,"Lamprey","Wet Deposition","Amino Acids",1967.5,14.8,30.1,28.591820218164,5.13,6.77218227625209,0.0801420699494859,0.026803,0.071209,0.00903610347472583,-0.185806798137936,1,0.333548061539444,0.042140537131167,0.150827941970473,0.316268621777129,0.025,0.0254004569512898,NA,NA,22.2659145301857,14.8528121171766,0.483485562665245,14.3693265545113,12.6432050352844,12.6418560724018,0.605317561241667,12.0365385111602,9.62270949490132,2,NA,2,NA,2,NA,"Good",2,NA,2,NA,"Good",2,NA,2,2,2,2,2,2,2
